counter,W,N,E,S
0,32,41,56,16
1,44,22,25,35
2,30,23,11,7
3,101,37,9,16
4,114,26,13,7
5,100,29,28,6
6,111,21,15,20
7,99,31,14,23
8,108,30,8,17
9,77,50,6,27
10,103,32,11,13
11,93,36,13,18
12,15,26,48,69
13,31,17,79,35
14,36,24,77,26
15,46,15,53,50
16,19,17,67,60
17,42,22,55,45
18,34,17,74,37
19,35,10,74,43
20,24,20,69,50
21,22,22,77,35
22,19,11,98,16
23,13,6,68,4
