index,timestamp,message,cam_wind_direction
1,2025-06-13T17:14:41.493709,N,E
2,2025-06-13T17:14:45.962181,E,E
3,2025-06-13T17:14:51.001281,N,N
4,2025-06-13T17:14:55.664155,N,N
5,2025-06-13T17:15:00.609380,N,N
6,2025-06-13T17:15:05.634813,N,N
7,2025-06-13T17:15:10.646695,N,S
8,2025-06-13T17:15:15.922572,N,W
9,2025-06-13T17:15:20.564470,N,W
10,2025-06-13T17:15:25.599551,N,S
11,2025-06-13T17:15:30.647942,N,S
12,2025-06-13T17:15:35.602437,N,S
13,2025-06-13T17:15:40.833257,N,N
14,2025-06-13T17:15:45.606605,W,W
15,2025-06-13T17:15:50.623012,W,W
16,2025-06-13T17:15:55.602775,W,W
17,2025-06-13T17:16:00.650661,E,E
18,2025-06-13T17:16:06.056451,S,S
19,2025-06-13T17:16:10.665114,W,W
20,2025-06-13T17:16:15.960183,N,N
21,2025-06-13T17:16:20.675702,W,W
22,2025-06-13T17:16:25.610751,W,W
23,2025-06-13T17:16:31.013279,E,E
24,2025-06-13T17:16:35.682521,E,E
25,2025-06-13T17:16:40.678635,W,W
26,2025-06-13T17:16:45.648185,W,W
27,2025-06-13T17:16:50.647659,W,W
28,2025-06-13T17:16:55.707040,W,S
29,2025-06-13T17:17:00.753181,S,S
30,2025-06-13T17:17:05.603030,S,S
31,2025-06-13T17:17:10.682202,W,W
32,2025-06-13T17:17:15.643556,W,W
33,2025-06-13T17:17:20.983078,S,S
34,2025-06-13T17:17:25.624030,E,E
35,2025-06-13T17:17:30.663772,E,E
36,2025-06-13T17:17:35.723683,W,W
37,2025-06-13T17:17:40.710219,W,W
38,2025-06-13T17:17:45.603550,W,N
39,2025-06-13T17:17:50.653952,W,W
40,2025-06-13T17:17:56.024465,W,W
41,2025-06-13T17:18:00.896685,W,W
42,2025-06-13T17:18:05.576650,E,E
43,2025-06-13T17:18:10.855553,S,S
44,2025-06-13T17:18:15.592354,W,W
45,2025-06-13T17:18:21.038710,W,W
46,2025-06-13T17:18:25.601853,W,W
47,2025-06-13T17:18:30.925186,W,W
