counter,S,N,W,E
1,15,32,76,36
2,19,56,64,25
3,48,39,64,27
4,28,30,81,31
5,24,32,99,16
6,26,36,85,26
7,28,40,76,22
8,35,39,71,30
9,31,33,73,28
10,28,37,70,41
11,25,32,94,17
12,45,37,39,56
13,36,33,26,74
14,31,27,53,58
15,44,21,47,62
16,34,31,47,52
17,46,35,26,69
18,42,40,42,42
19,41,40,38,59
20,34,55,34,46
21,36,36,25,75
22,32,34,36,72
23,19,22,13,42
0,12,26,51,23
