index,timestamp,message
0,2025-06-05T14:33:49.438446,W
1,2025-06-05T14:33:54.438289,W
2,2025-06-05T14:33:59.438570,W
3,2025-06-05T14:34:04.438342,W
4,2025-06-05T14:34:09.438349,W
5,2025-06-05T14:34:14.438593,W
6,2025-06-05T14:34:19.438290,W
7,2025-06-05T14:34:24.438290,W
8,2025-06-05T14:34:29.438287,W
9,2025-06-05T14:34:34.438294,W
10,2025-06-05T14:34:39.438289,W
11,2025-06-05T14:34:44.438294,W
12,2025-06-05T14:34:49.438316,W
13,2025-06-05T14:34:54.438291,W
14,2025-06-05T14:34:59.438296,W
15,2025-06-05T14:35:05.572057,W
16,2025-06-05T14:35:09.438281,W
17,2025-06-05T14:35:14.438297,W
18,2025-06-05T14:35:19.438297,W
19,2025-06-05T14:35:24.438290,W
20,2025-06-05T14:35:29.438294,W
21,2025-06-05T14:35:34.438288,W
22,2025-06-05T14:35:39.438287,W
23,2025-06-05T14:35:44.438272,W
24,2025-06-05T14:35:49.438296,W
25,2025-06-05T14:35:54.438306,W
26,2025-06-05T14:35:59.438305,W
27,2025-06-05T14:36:04.438299,W
28,2025-06-05T14:36:09.438250,W
29,2025-06-05T14:36:14.438287,W
30,2025-06-05T14:36:19.438247,W
31,2025-06-05T14:36:24.438295,W
32,2025-06-05T14:36:29.438293,W
33,2025-06-05T14:36:34.438344,W
34,2025-06-05T14:36:39.438295,W
35,2025-06-05T14:36:44.438280,W
36,2025-06-05T14:36:49.438287,W
37,2025-06-05T14:36:54.438303,W
38,2025-06-05T14:36:59.438306,W
39,2025-06-05T14:37:04.438271,W
40,2025-06-05T14:37:09.438297,W
41,2025-06-05T14:37:14.438319,W
42,2025-06-05T14:37:19.438281,W
43,2025-06-05T14:37:24.438285,W
44,2025-06-05T14:37:29.438297,W
45,2025-06-05T14:37:34.438291,W
46,2025-06-05T14:37:39.438298,W
47,2025-06-05T14:37:44.438295,W
48,2025-06-05T14:37:49.438309,W
49,2025-06-05T14:37:54.438281,W
50,2025-06-05T14:37:59.438309,W
51,2025-06-05T14:38:04.438298,W
52,2025-06-05T14:38:09.438274,W
53,2025-06-05T14:38:14.438289,W
54,2025-06-05T14:38:19.438290,W
55,2025-06-05T14:38:24.438306,W
56,2025-06-05T14:38:29.438348,W
57,2025-06-05T14:38:34.438287,W
58,2025-06-05T14:38:39.438292,W
59,2025-06-05T14:38:44.438305,W
60,2025-06-05T14:38:49.438293,W
61,2025-06-05T14:38:54.438284,W
62,2025-06-05T14:38:59.438299,W
63,2025-06-05T14:39:04.438296,W
64,2025-06-05T14:39:09.438318,W
65,2025-06-05T14:39:14.438319,W
66,2025-06-05T14:39:19.438296,W
67,2025-06-05T14:39:24.438300,W
68,2025-06-05T14:39:29.438333,W
69,2025-06-05T14:39:34.438286,W
70,2025-06-05T14:39:39.438289,W
71,2025-06-05T14:39:44.438294,W
72,2025-06-05T14:39:49.438296,W
73,2025-06-05T14:39:54.438303,W
74,2025-06-05T14:39:59.438298,W
75,2025-06-05T14:40:04.438299,W
76,2025-06-05T14:40:09.438323,W
77,2025-06-05T14:40:14.438305,W
78,2025-06-05T14:40:19.438295,W
79,2025-06-05T14:40:24.438308,W
80,2025-06-05T14:40:29.438291,W
81,2025-06-05T14:40:34.438290,W
82,2025-06-05T14:40:39.438330,W
83,2025-06-05T14:40:44.438359,W
84,2025-06-05T14:40:49.438300,W
85,2025-06-05T14:40:54.438279,W
86,2025-06-05T14:40:59.438288,W
87,2025-06-05T14:41:04.438285,W
88,2025-06-05T14:41:09.438296,W
89,2025-06-05T14:41:14.438295,W
90,2025-06-05T14:41:19.438292,W
91,2025-06-05T14:41:24.438425,W
92,2025-06-05T14:41:29.438317,W
93,2025-06-05T14:41:34.438294,W
94,2025-06-05T14:41:39.438289,W
95,2025-06-05T14:41:44.438313,W
96,2025-06-05T14:41:49.438317,W
97,2025-06-05T14:41:54.438330,W
98,2025-06-05T14:41:59.438297,W
99,2025-06-05T14:42:04.438290,W
100,2025-06-05T14:42:09.438293,W
101,2025-06-05T14:42:14.438304,W
102,2025-06-05T14:42:19.438283,W
103,2025-06-05T14:42:24.438304,W
104,2025-06-05T14:42:29.438293,W
105,2025-06-05T14:42:34.438301,W
106,2025-06-05T14:42:39.438290,W
107,2025-06-05T14:42:44.438297,W
108,2025-06-05T14:42:49.438308,W
109,2025-06-05T14:42:54.438293,W
110,2025-06-05T14:42:59.438288,W
111,2025-06-05T14:43:04.438296,W
112,2025-06-05T14:43:09.438289,W
113,2025-06-05T14:43:14.438301,W
114,2025-06-05T14:43:19.438303,W
115,2025-06-05T14:43:24.438284,W
116,2025-06-05T14:43:29.438291,W
117,2025-06-05T14:43:34.438295,W
118,2025-06-05T14:43:39.438315,W
119,2025-06-05T14:43:44.438290,W
120,2025-06-05T14:43:49.438301,W
121,2025-06-05T14:43:54.438298,W
122,2025-06-05T14:43:59.438297,W
123,2025-06-05T14:44:04.438290,W
124,2025-06-05T14:44:09.438310,W
125,2025-06-05T14:44:14.438293,W
126,2025-06-05T14:44:19.438306,W
127,2025-06-05T14:44:24.438277,W
128,2025-06-05T14:44:29.438364,W
129,2025-06-05T14:44:34.438314,W
130,2025-06-05T14:44:39.438287,W
131,2025-06-05T14:44:44.438290,W
132,2025-06-05T14:44:49.438297,W
133,2025-06-05T14:44:54.438310,W
134,2025-06-05T14:44:59.438362,W
135,2025-06-05T14:45:04.438285,W
136,2025-06-05T14:45:09.438278,W
137,2025-06-05T14:45:14.438294,W
138,2025-06-05T14:45:19.438298,W
139,2025-06-05T14:45:24.438296,W
140,2025-06-05T14:45:29.438298,W
141,2025-06-05T14:45:34.438290,W
142,2025-06-05T14:45:39.438285,W
143,2025-06-05T14:45:44.438295,W
144,2025-06-05T14:45:49.438372,W
145,2025-06-05T14:45:54.438286,W
146,2025-06-05T14:45:59.438303,W
147,2025-06-05T14:46:04.438299,W
148,2025-06-05T14:46:09.438296,W
149,2025-06-05T14:46:14.438299,W
150,2025-06-05T14:46:19.438295,W
151,2025-06-05T14:46:24.438286,W
152,2025-06-05T14:46:29.438298,W
153,2025-06-05T14:46:34.438286,W
154,2025-06-05T14:46:39.438388,W
155,2025-06-05T14:46:44.438285,W
156,2025-06-05T14:46:49.438286,W
157,2025-06-05T14:46:54.438288,W
158,2025-06-05T14:46:59.438294,W
159,2025-06-05T14:47:04.438290,W
160,2025-06-05T14:47:09.438294,W
161,2025-06-05T14:47:14.438297,W
162,2025-06-05T14:47:19.438306,W
163,2025-06-05T14:47:24.438362,W
164,2025-06-05T14:47:29.438288,W
165,2025-06-05T14:47:34.438304,W
166,2025-06-05T14:47:39.438283,W
167,2025-06-05T14:47:44.438292,W
168,2025-06-05T14:47:49.438303,W
169,2025-06-05T14:47:54.438289,W
170,2025-06-05T14:47:59.438286,W
171,2025-06-05T14:48:04.438316,W
172,2025-06-05T14:48:09.438286,W
173,2025-06-05T14:48:14.438295,W
174,2025-06-05T14:48:19.438295,W
175,2025-06-05T14:48:24.438293,W
176,2025-06-05T14:48:29.438284,W
177,2025-06-05T14:48:34.438287,W
178,2025-06-05T14:48:39.438293,W
179,2025-06-05T14:48:44.438338,W
180,2025-06-05T14:48:49.438288,W
