counter,N,W,E,S
1,13,12,5,7
2,11,24,9,4
3,19,27,6,8
4,23,23,4,12
5,10,31,7,13
6,14,26,16,9
7,28,30,3,12
8,16,30,13,9
9,6,43,6,7
10,10,43,3,14
11,17,37,8,9
12,36,19,7,6
13,24,22,11,7
14,15,36,10,12
15,13,40,10,5
16,10,34,8,9
17,8,38,10,14
18,18,25,13,17
19,13,31,11,11
20,28,32,1,4
21,13,34,13,12
22,14,31,12,13
23,12,23,17,10
24,15,25,16,14
25,12,14,24,21
26,16,10,34,7
27,15,14,22,13
28,11,20,29,11
29,15,13,27,15
30,16,16,22,10
31,13,8,25,21
32,15,9,35,14
33,15,10,33,11
34,9,11,16,25
35,15,21,23,12
36,17,11,22,19
37,7,27,18,13
38,8,14,22,19
39,12,14,26,17
40,8,9,28,18
41,18,9,20,12
42,14,17,18,18
43,11,18,27,11
44,7,8,22,23
45,10,8,17,28
46,15,5,30,19
0,11,1,6,8
47,0,0,5,2
