counter,X,E,N,S,W
1,17,0,0,0,0
2,14,2,1,0,0
3,14,0,0,3,0
4,13,1,1,2,0
5,12,1,2,2,0
6,10,1,3,3,0
7,9,1,2,4,1
8,9,0,2,4,2
9,8,3,4,2,0
10,7,2,5,0,3
11,6,1,2,0,8
12,4,1,0,0,12
13,4,1,2,0,10
14,3,3,4,3,4
15,3,4,2,2,6
16,2,2,2,0,11
17,2,3,3,1,8
18,2,3,4,2,6
19,2,0,4,3,8
20,2,0,5,2,8
21,2,2,7,2,4
22,1,2,5,5,4
23,1,2,4,6,4
24,1,1,6,1,8
25,1,0,6,3,7
26,1,1,8,3,4
27,1,4,6,3,3
28,0,3,5,5,4
29,0,4,3,4,6
30,0,3,0,3,11
31,0,4,1,2,10
32,0,5,0,3,9
33,0,6,3,2,6
34,0,1,6,3,7
35,0,3,7,1,6
36,0,2,4,4,7
37,0,1,5,3,8
38,0,1,6,3,7
39,0,1,9,2,5
40,0,1,9,2,5
41,0,3,4,5,5
42,0,2,7,1,7
43,0,3,5,3,6
44,0,4,2,3,8
45,0,4,2,1,10
46,0,2,1,1,13
47,0,2,4,1,10
48,0,1,0,3,13
49,0,3,0,2,12
50,0,1,2,0,14
51,0,2,2,0,13
52,0,1,0,4,12
53,0,1,4,5,7
54,0,1,5,2,9
55,0,2,5,3,7
56,0,3,3,1,10
57,0,2,5,2,8
58,0,1,3,5,8
59,0,1,11,1,4
60,0,3,8,1,5
61,0,4,3,3,7
62,0,2,1,2,12
63,0,3,5,1,8
64,0,4,7,2,4
65,0,2,10,2,3
66,0,1,8,2,6
67,0,3,3,1,10
68,0,3,0,6,8
69,0,2,6,3,6
70,0,1,4,2,10
71,0,2,10,1,4
72,0,5,3,1,8
73,0,2,4,3,8
74,0,3,4,0,10
75,0,1,3,1,12
76,0,1,3,2,11
77,0,2,1,4,10
78,0,5,2,1,9
79,0,1,4,2,10
80,0,5,2,2,8
81,0,1,1,5,10
82,0,3,1,2,11
83,0,1,2,4,10
84,0,3,4,3,7
85,0,3,5,4,5
86,0,1,4,4,8
87,0,3,5,6,3
88,0,4,2,3,8
89,0,9,2,1,5
90,0,4,3,2,8
91,0,3,3,3,8
92,0,1,5,2,9
93,0,1,5,3,8
94,0,4,1,4,8
