counter,W,N,E,S
0,16,27,11,20
1,61,32,20,14
2,59,38,17,28
3,65,46,21,25
4,87,22,21,17
5,89,33,12,24
6,52,60,22,15
7,83,33,23,19
8,82,22,19,25
9,63,34,30,29
10,72,45,16,21
11,62,30,33,24
12,42,29,45,42
13,28,32,65,23
14,37,29,64,28
15,25,30,57,36
16,19,32,77,31
17,35,25,49,40
18,42,24,47,38
19,32,23,52,41
20,22,28,55,33
21,42,26,49,33
22,19,22,44,54
23,7,17,44,24
