counter,S,W,N,E
4,42,66,41,27
5,18,63,52,31
6,29,73,44,25
7,34,54,49,39
8,31,48,57,28
9,21,83,41,35
10,31,65,38,23
11,15,97,47,23
12,28,37,27,72
13,39,20,27,92
14,38,30,34,65
15,34,22,41,72
16,38,24,33,84
17,36,34,21,69
18,58,22,28,73
19,54,20,13,76
20,42,26,29,71
21,28,22,24,72
22,48,17,32,56
23,29,11,22,39
0,6,23,23,30
1,21,60,38,17
2,27,66,44,18
3,17,76,35,20
