counter,W,N,E,S
1,44,55,8,14
2,68,41,15,20
3,239,43,20,23
4,57,46,8,24
5,56,40,17,22
6,78,35,9,13
7,77,30,12,16
8,69,40,11,15
9,66,49,13,7
10,101,23,6,5
11,53,57,15,10
12,40,40,115,46
13,10,17,76,23
14,15,19,80,12
15,26,40,38,22
16,16,21,64,25
17,15,20,55,36
18,13,17,69,27
19,16,22,63,25
20,13,38,56,19
21,24,13,75,14
22,6,13,75,32
23,11,7,46,6
0,10,45,8,14
