counter,N,W,E,S
2,41,119,8,5
3,60,57,18,34
4,77,63,11,18
5,53,73,26,17
6,64,74,21,13
7,43,86,25,18
8,47,96,15,12
9,76,59,28,10
10,57,86,15,16
11,22,119,8,19
12,26,17,69,55
13,27,18,84,43
14,13,8,133,20
15,30,18,72,52
16,21,12,113,27
17,7,0,151,12
18,19,4,103,42
19,11,12,112,34
20,10,11,108,44
21,28,11,89,44
22,9,25,92,46
23,14,8,66,30
1,27,78,13,3
0,54,30,5,13
