index,timestamp,message,cam_wind_direction
1,2025-06-13T14:27:24.180764,S,N
2,2025-06-13T14:27:28.505253,S,N
3,2025-06-13T14:27:32.482414,S,E
4,2025-06-13T14:27:36.400168,S,E
5,2025-06-13T14:27:40.446304,E,E
6,2025-06-13T14:27:44.658165,N,N
7,2025-06-13T14:27:48.504686,S,S
8,2025-06-13T14:27:52.481911,S,S
9,2025-06-13T14:27:56.322192,W,W
10,2025-06-13T14:28:00.257814,W,W
11,2025-06-13T14:28:04.261422,W,W
12,2025-06-13T14:28:08.211764,W,N
13,2025-06-13T14:28:12.159458,W,E
14,2025-06-13T14:28:16.154380,W,N
15,2025-06-13T14:28:20.044003,W,N
16,2025-06-13T14:28:23.896714,W,E
17,2025-06-13T14:28:27.848194,S,S
18,2025-06-13T14:28:31.818924,S,S
19,2025-06-13T14:28:35.814779,S,S
20,2025-06-13T14:28:39.695833,S,S
21,2025-06-13T14:28:43.618962,S,S
22,2025-06-13T14:28:47.452055,S,S
23,2025-06-13T14:28:51.353264,S,S
24,2025-06-13T14:28:55.237045,N,N
25,2025-06-13T14:28:59.214522,E,E
26,2025-06-13T14:29:03.120197,W,W
27,2025-06-13T14:29:06.964727,W,W
28,2025-06-13T14:29:10.796513,W,W
29,2025-06-13T14:29:14.679220,E,E
30,2025-06-13T14:29:18.603081,W,W
31,2025-06-13T14:29:22.426609,S,S
32,2025-06-13T14:29:26.754442,E,E
33,2025-06-13T14:29:30.696335,E,E
34,2025-06-13T14:29:35.052506,E,E
35,2025-06-13T14:29:38.967610,E,E
36,2025-06-13T14:29:42.795669,E,E
37,2025-06-13T14:29:46.585181,S,S
38,2025-06-13T14:29:50.521135,S,S
39,2025-06-13T14:29:54.499912,N,N
40,2025-06-13T14:29:58.487715,N,N
41,2025-06-13T14:30:02.371715,N,N
42,2025-06-13T14:30:06.304130,N,N
43,2025-06-13T14:30:10.173732,N,N
44,2025-06-13T14:30:14.053547,E,E
45,2025-06-13T14:30:17.950256,E,E
46,2025-06-13T14:30:21.854093,E,E
47,2025-06-13T14:30:25.867738,N,N
48,2025-06-13T14:30:29.706816,N,N
49,2025-06-13T14:30:33.598182,N,N
50,2025-06-13T14:30:37.436892,E,E
51,2025-06-13T14:30:41.670826,N,N
52,2025-06-13T14:30:45.615023,S,S
53,2025-06-13T14:30:49.556402,S,S
54,2025-06-13T14:30:53.463607,W,W
55,2025-06-13T14:30:57.318513,W,W
56,2025-06-13T14:31:01.213657,N,N
57,2025-06-13T14:31:05.182591,S,S
58,2025-06-13T14:31:09.507067,N,N
59,2025-06-13T14:31:13.287841,E,E
60,2025-06-13T14:31:17.139622,S,S
61,2025-06-13T14:31:21.048784,S,S
62,2025-06-13T14:31:25.035618,S,S
63,2025-06-13T14:31:28.986199,S,S
64,2025-06-13T14:31:33.257453,W,W
65,2025-06-13T14:31:37.194147,N,N
66,2025-06-13T14:31:41.107209,N,N
67,2025-06-13T14:31:44.980922,N,N
68,2025-06-13T14:31:48.939857,E,E
69,2025-06-13T14:31:52.928269,E,E
70,2025-06-13T14:31:56.873861,E,E
71,2025-06-13T14:32:00.725389,E,E
72,2025-06-13T14:32:04.585126,E,E
73,2025-06-13T14:32:08.533978,E,E
74,2025-06-13T14:32:12.545084,E,E
75,2025-06-13T14:32:16.460315,E,E
76,2025-06-13T14:32:20.385452,E,E
77,2025-06-13T14:32:24.278114,N,N
78,2025-06-13T14:32:28.208850,N,N
79,2025-06-13T14:32:32.044255,E,E
80,2025-06-13T14:32:35.997222,E,E
81,2025-06-13T14:32:39.948877,E,E
82,2025-06-13T14:32:43.827364,W,W
83,2025-06-13T14:32:47.633256,S,S
84,2025-06-13T14:32:51.472524,E,E
85,2025-06-13T14:32:55.447315,E,E
86,2025-06-13T14:32:59.336169,E,E
87,2025-06-13T14:33:03.172217,W,W
88,2025-06-13T14:33:07.157804,E,E
89,2025-06-13T14:33:11.110627,S,S
90,2025-06-13T14:33:14.976908,E,E
91,2025-06-13T14:33:18.822791,E,E
92,2025-06-13T14:33:22.807637,E,E
93,2025-06-13T14:33:26.643688,W,W
94,2025-06-13T14:33:30.548939,E,E
95,2025-06-13T14:33:34.452868,S,S
96,2025-06-13T14:33:38.389765,N,N
97,2025-06-13T14:33:42.374829,S,S
98,2025-06-13T14:33:46.265394,S,S
99,2025-06-13T14:33:50.184635,S,S
100,2025-06-13T14:33:54.078062,S,S
101,2025-06-13T14:33:57.885586,S,S
102,2025-06-13T14:34:01.781063,S,S
103,2025-06-13T14:34:05.632763,S,S
104,2025-06-13T14:34:09.535938,S,S
105,2025-06-13T14:34:13.386604,S,S
106,2025-06-13T14:34:17.268321,S,S
107,2025-06-13T14:34:21.184886,S,S
108,2025-06-13T14:34:25.068932,S,S
109,2025-06-13T14:34:28.972295,S,S
110,2025-06-13T14:34:32.895836,S,S
111,2025-06-13T14:34:36.880705,S,S
112,2025-06-13T14:34:40.864973,S,S
113,2025-06-13T14:34:44.804279,S,S
114,2025-06-13T14:34:48.675592,S,S
115,2025-06-13T14:34:52.547219,S,S
116,2025-06-13T14:34:56.452750,S,S
117,2025-06-13T14:35:00.307796,S,S
118,2025-06-13T14:35:04.181865,S,S
119,2025-06-13T14:35:07.989988,S,S
120,2025-06-13T14:35:11.885773,W,W
121,2025-06-13T14:35:15.777421,S,S
122,2025-06-13T14:35:19.721786,S,S
123,2025-06-13T14:35:23.635976,S,S
124,2025-06-13T14:35:27.482757,S,S
125,2025-06-13T14:35:31.296170,S,S
126,2025-06-13T14:35:35.139340,E,E
127,2025-06-13T14:35:39.020042,E,E
128,2025-06-13T14:35:42.834667,S,S
129,2025-06-13T14:35:46.682851,S,S
130,2025-06-13T14:35:50.567634,S,S
131,2025-06-13T14:35:54.476465,S,S
132,2025-06-13T14:35:58.325261,S,S
133,2025-06-13T14:36:02.202977,S,S
134,2025-06-13T14:36:06.164682,E,E
135,2025-06-13T14:36:10.053370,S,S
136,2025-06-13T14:36:13.858138,S,S
137,2025-06-13T14:36:17.777266,S,S
138,2025-06-13T14:36:21.631166,S,S
139,2025-06-13T14:36:25.491602,E,E
140,2025-06-13T14:36:29.408660,N,N
141,2025-06-13T14:36:33.315338,E,E
142,2025-06-13T14:36:37.291194,N,N
143,2025-06-13T14:36:41.242085,N,N
144,2025-06-13T14:36:45.201269,N,N
145,2025-06-13T14:36:49.092890,E,E
146,2025-06-13T14:36:52.942870,E,E
147,2025-06-13T14:36:56.783289,W,W
148,2025-06-13T14:37:00.624743,S,S
149,2025-06-13T14:37:04.501969,S,S
150,2025-06-13T14:37:08.425031,S,S
151,2025-06-13T14:37:12.353204,S,S
152,2025-06-13T14:37:16.302452,S,S
153,2025-06-13T14:37:20.168603,E,E
154,2025-06-13T14:37:24.051597,S,S
155,2025-06-13T14:37:27.935039,S,S
156,2025-06-13T14:37:31.982113,S,S
157,2025-06-13T14:37:36.031760,E,E
158,2025-06-13T14:37:39.871016,S,S
159,2025-06-13T14:37:43.746499,S,S
160,2025-06-13T14:37:47.644871,E,E
161,2025-06-13T14:37:51.499683,S,S
162,2025-06-13T14:37:55.357373,S,S
163,2025-06-13T14:37:59.339919,N,N
164,2025-06-13T14:38:03.244999,N,N
165,2025-06-13T14:38:07.111461,N,N
166,2025-06-13T14:38:11.013984,S,S
167,2025-06-13T14:38:14.929423,N,N
168,2025-06-13T14:38:18.919890,N,N
169,2025-06-13T14:38:22.783086,N,N
170,2025-06-13T14:38:26.632701,E,E
171,2025-06-13T14:38:30.547786,E,E
172,2025-06-13T14:38:34.482865,E,E
173,2025-06-13T14:38:38.401697,S,S
174,2025-06-13T14:38:42.316323,S,S
175,2025-06-13T14:38:46.248600,S,S
176,2025-06-13T14:38:50.170838,S,S
177,2025-06-13T14:38:54.110224,S,S
178,2025-06-13T14:38:58.155560,S,S
179,2025-06-13T14:39:02.068789,N,N
180,2025-06-13T14:39:05.954169,S,S
181,2025-06-13T14:39:09.856891,S,S
182,2025-06-13T14:39:13.753768,S,S
183,2025-06-13T14:39:17.667638,S,S
184,2025-06-13T14:39:21.587950,S,S
185,2025-06-13T14:39:25.533053,S,S
186,2025-06-13T14:39:29.427383,S,S
187,2025-06-13T14:39:33.338462,W,W
188,2025-06-13T14:39:37.195542,W,W
189,2025-06-13T14:39:41.123607,N,N
190,2025-06-13T14:39:44.994300,N,N
191,2025-06-13T14:39:48.889519,S,S
192,2025-06-13T14:39:52.859820,N,N
193,2025-06-13T14:39:56.768262,S,S
194,2025-06-13T14:40:00.647078,W,W
195,2025-06-13T14:40:04.501385,W,W
196,2025-06-13T14:40:08.396969,E,E
197,2025-06-13T14:40:12.256751,E,E
198,2025-06-13T14:40:16.199803,W,W
199,2025-06-13T14:40:20.083678,E,E
200,2025-06-13T14:40:24.068687,E,E
201,2025-06-13T14:40:27.912898,E,E
202,2025-06-13T14:40:31.720392,N,N
203,2025-06-13T14:40:35.603561,S,S
204,2025-06-13T14:40:39.457043,S,S
205,2025-06-13T14:40:43.445975,E,E
206,2025-06-13T14:40:47.361045,E,E
207,2025-06-13T14:40:51.302493,E,E
208,2025-06-13T14:40:55.317169,E,E
209,2025-06-13T14:40:59.253428,E,E
210,2025-06-13T14:41:03.286929,E,E
211,2025-06-13T14:41:07.193166,N,N
212,2025-06-13T14:41:11.038147,W,W
213,2025-06-13T14:41:14.924317,S,S
214,2025-06-13T14:41:18.835698,S,S
215,2025-06-13T14:41:22.730823,S,S
216,2025-06-13T14:41:26.677226,N,N
217,2025-06-13T14:41:30.587552,N,N
218,2025-06-13T14:41:34.553429,E,E
219,2025-06-13T14:41:38.526933,N,N
220,2025-06-13T14:41:42.505080,E,E
221,2025-06-13T14:41:46.482720,E,E
222,2025-06-13T14:41:50.448119,E,E
223,2025-06-13T14:41:54.425295,E,E
224,2025-06-13T14:41:58.352408,N,N
225,2025-06-13T14:42:02.221278,E,E
226,2025-06-13T14:42:06.152787,N,N
227,2025-06-13T14:42:10.081932,E,E
228,2025-06-13T14:42:13.998915,E,E
229,2025-06-13T14:42:17.924122,N,N
230,2025-06-13T14:42:21.827745,E,E
231,2025-06-13T14:42:25.756176,W,W
232,2025-06-13T14:42:29.624929,E,E
233,2025-06-13T14:42:33.512251,E,E
