index,timestamp,message,cam_wind_direction
1,2025-06-13T15:43:09.245604,W,W
2,2025-06-13T15:43:13.813771,W,W
3,2025-06-13T15:43:18.792685,W,W
4,2025-06-13T15:43:23.977958,W,S
5,2025-06-13T15:43:28.638352,W,E
6,2025-06-13T15:43:33.692515,W,W
7,2025-06-13T15:43:38.704738,W,W
8,2025-06-13T15:43:43.727548,E,E
9,2025-06-13T15:43:48.652734,N,N
10,2025-06-13T15:43:53.703375,W,W
11,2025-06-13T15:43:58.732170,W,W
12,2025-06-13T15:44:03.676885,W,W
13,2025-06-13T15:44:08.686491,W,W
14,2025-06-13T15:44:13.622548,N,N
15,2025-06-13T15:44:18.704877,W,W
16,2025-06-13T15:44:23.678146,N,N
17,2025-06-13T15:44:28.747009,N,N
18,2025-06-13T15:44:33.660086,S,S
19,2025-06-13T15:44:38.644490,S,E
20,2025-06-13T15:44:43.670639,S,S
21,2025-06-13T15:44:48.601722,E,E
22,2025-06-13T15:44:53.587033,S,S
23,2025-06-13T15:44:58.582251,S,S
24,2025-06-13T15:45:03.682280,S,S
25,2025-06-13T15:45:08.630970,E,E
26,2025-06-13T15:45:13.673841,S,S
