counter,W,N,E,S
0,23,19,17,15
1,54,42,17,41
2,77,41,26,36
3,68,43,32,38
4,60,57,29,30
5,57,54,35,36
6,84,48,25,19
7,110,28,17,30
8,84,54,22,15
9,90,55,26,16
10,101,40,21,15
11,75,46,21,36
12,68,31,39,45
13,25,21,102,28
14,61,21,64,38
15,28,42,56,50
16,24,40,85,35
17,32,29,51,65
18,42,28,39,76
19,30,37,55,56
20,30,27,66,55
21,36,21,74,51
22,37,40,68,29
23,18,18,81,32
