counter,E,S,N,W
2,39,25,30,76
3,23,17,43,68
4,18,24,49,74
5,20,36,38,72
6,19,20,52,68
7,20,21,36,88
8,14,14,23,105
9,28,35,38,70
10,19,12,16,104
11,23,25,56,67
12,60,45,19,31
13,83,46,21,16
14,70,39,19,36
15,68,36,37,18
16,60,44,42,19
17,75,34,31,15
18,45,46,39,40
19,61,27,30,38
20,57,52,24,29
21,70,41,21,20
22,71,41,14,24
23,33,27,14,24
0,14,16,24,31
1,12,9,31,59
