counter,X,E,N,S,W
1,17,1,0,0,0
2,15,1,1,1,0
3,10,2,1,2,3
4,10,2,1,2,3
5,8,2,4,1,3
6,7,2,4,0,5
7,7,3,3,2,3
8,7,3,3,1,4
9,7,3,1,3,4
10,7,2,4,1,4
11,7,1,5,1,4
12,7,1,3,1,6
13,7,1,2,2,6
14,7,2,0,1,8
15,6,3,2,0,7
16,5,2,4,0,7
17,4,2,5,1,6
18,3,3,6,3,3
19,1,2,5,3,7
20,0,3,5,1,9
21,0,1,6,4,7
22,0,5,4,4,5
23,0,5,1,5,7
24,0,3,3,1,11
25,0,3,4,0,11
26,0,4,6,1,7
27,0,6,5,4,3
28,0,4,4,7,3
29,0,5,4,1,8
30,0,2,4,2,10
31,0,2,1,3,12
32,0,2,4,6,6
33,0,1,6,4,7
34,0,1,6,2,9
35,0,2,5,2,9
36,0,5,2,5,6
37,0,7,5,0,6
38,0,3,6,0,9
39,0,1,6,1,10
40,0,3,7,3,5
41,0,2,10,0,6
42,0,1,8,1,8
43,0,1,8,1,8
44,0,4,5,5,4
45,0,2,5,7,4
46,0,3,4,4,7
47,0,4,3,3,8
48,0,1,4,1,12
49,0,2,4,2,10
50,0,1,4,5,8
51,0,1,5,3,9
52,0,1,3,4,10
53,0,3,3,3,9
54,0,1,5,5,7
55,0,1,2,6,9
56,0,3,4,3,8
57,0,7,2,2,7
58,0,3,5,4,6
59,0,1,8,3,6
60,0,2,7,3,6
61,0,1,2,1,14
62,0,6,4,0,8
63,0,3,3,5,7
64,0,3,5,2,8
65,0,1,3,2,12
66,0,1,8,3,6
67,0,2,9,2,5
68,0,3,9,2,4
69,0,2,6,1,9
70,0,2,4,4,8
71,0,2,3,4,9
72,0,3,3,6,6
73,0,3,4,3,8
74,0,5,3,1,9
75,0,1,4,1,12
76,0,3,4,2,9
77,0,2,4,1,11
78,0,1,1,0,16
79,0,2,0,0,16
80,0,2,3,2,11
81,0,3,1,1,13
82,0,4,7,1,6
83,0,1,4,2,11
84,0,3,2,3,10
85,0,4,4,6,4
86,0,1,5,5,7
87,0,2,3,3,10
88,0,2,2,2,12
89,0,3,5,6,4
90,0,5,3,4,6
91,0,2,7,2,7
92,0,4,5,3,6
93,0,2,2,1,13
94,0,5,5,6,2
95,0,1,3,5,9
